,subcategory,quantity,weight,name, type,about,nutritionalvalue,visibility,price,relatedproduct,category,,,,,,image1
1,1,10,200,Limbu chana,0,"                    Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Du","                    Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Du",1,150,,1,NULL,NULL,NULL,1,,121.png
2,1,10,200,Pudina chana,0,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor ","Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor ",1,150,,1,NULL,NULL,NULL,2,,19.png
3,1,10,200,Tangy chana,0,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor ","Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor ",1,150,,1,NULL,NULL,NULL,2,,23.png
4,1,10,500,Moong dal khakhra,0,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor ","Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor ",1,325,,1,NULL,NULL,NULL,2,,15.png
5,1,10,500,Mix - dal khakhra,0,sadsd,                                    ,,325,,1,NULL,NULL,NULL,1,,14.png
6,1,10,150,Chana Jor,0,dfdf,                            ,1,150,,1,NULL,NULL,NULL,1,,4.png
7,2,10,150,Jowar munch,0,sdfdsfs,                                    ,,150,,1,NULL,NULL,NULL,1,,11.png
8,2,10,200,Bajra rings,0,,                                    ,,250,,1,NULL,NULL,NULL,1,,3.png
9,4,10,100,4 O clock nut munch,0,,                                    ,,175,,1,NULL,NULL,NULL,1,,1.png
10,8,10,,Dark Chocolate bar,0,,                                    ,,270,,1,NULL,NULL,NULL,1,,2.png
11,32,10,,Chew 60 K: Chewable vitamin D3 (10 tabs),0,,                                    ,,154,,2,NULL,NULL,NULL,1,,5.png
12,8,10,,Choco-nut discs,0,,                                    ,,650,,1,NULL,NULL,NULL,1,,6.png
